prompt,phrase
Emotional pain,When I remember her I feel down
Hair falling out,When I carry heavy things I feel like breaking my back
Heart hurts,there is too much pain when i move my arm
Infected wound,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.
Infected wound,My muscles in my lower back are aching
Foot ache,"i have muscle pain that my back
I Have Muscle Pain at my back leg"
Shoulder pain,I have muscle pain in my left leg
Injury from sports,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help
Skin issue,I have acne in my face and other problems in my derma like itching
Foot ache,I have a strange rash on my arm
Stomach ache,I have a sharp pain in my lower stomach.
Knee pain,i have a knee pain when i walk a lot
Heart hurts,dr. I feel a strange and powerful pain inside my rib cage
Joint pain,Don't cry
Heart hurts,I have for dia
Hard to breath,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down."
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Head ache,I read a book for along time and when I finished reading I feel head ache
Injury from sports,i cant sleep because of cold
Skin issue,My infected wound cause fever
Body feels weak,I lose a lot of my hair
Feeling dizzy,i feel dizzy after severe diarrhea
Back pain,I feel a pain in my back
Open wound,"Laceration, rupture or opening in the skin"
Back pain,My back hurts me and i can't bend it or walk
Head ache,My head hurts whenever I try to do something.
Skin issue,I have dark spots on my skin
Internal pain,I feel a sharp pain in my stomach
Body feels weak,I can't do anything I feel a weak in my body
Blurry vision,I have cloudy eyes
Back pain,I have a back pain since I turned 70 years old.
Blurry vision,I tried to put my glasses to see more clear but cant find any change
Acne,I feel deep Tingling when I touch Acne followed by bad sensation
Acne,My acne gets worse when it is hot
Hard to breath,Sometimes I feel like a claw on my chest that leaves me breathless.
Muscle pain,my abdominal muscles have great pain since i was at GYM
Injury from sports,My back got injured while i was lifting at the gym
Joint pain,my ankle is hurting me
Infected wound,I think my wound is infected
Knee pain,i feel pain in my knee
Skin issue,My skin is very dry and peeling.
Shoulder pain,i can't move my shoulder because of pain
Feeling dizzy,when i wake up in the morning i feel dizzy
Hair falling out,My hair is falling out in huge amount
Neck pain,I have a sharp pain in my neck
Muscle pain,There is pain in the muscles I do not know caused
Hard to breath,I have a problem in the expiration because i have abronchial asthma
Feeling dizzy,"Every time I make an effort, I felt dizzy."
Neck pain,I have a powerful pain inside my neck
Internal pain,I have a pain internal
Acne,chronic disease of hair follicles and sebaceous glands.
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Feeling dizzy,When I stand up too quickly I start to feel dizzy and light-headed
Heart hurts,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.
Joint pain,I have a feeling like my whole body is complaining
Knee pain,My knee hurts when I play squash
Blurry vision,i can't see well
Skin issue,I tried alot of cream but i still feel the same skin problem
Shoulder pain,It feels like someone stuck a knife into my shoulder
Muscle pain,I feel a burning sensation in my shoulder muscle.
Open wound,I cut my foot at the pool and it breaks open every day when I walk on it.
Knee pain,My knee catches and hurts when I first stand up after sitting.
Infected wound,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.
Shoulder pain,I feel pain in my shoulders when I write on the keyboard.
Blurry vision,i have a problem in seeing objects it is too difficult to see
Open wound,glass broken and wound my leg badly the wound is so wide
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Foot ache,I love to walk and be outside but the bottoms of my feet get sore so quickly.
Joint pain,I feel pain in my knee when I climb the stairs.
Body feels weak,"I get tired too fast, I can barely put on my clothes in the morning."
Knee pain,My knee hurts when I walk
Neck pain,i can't rotate my neck
Infected wound,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.
Back pain,i have a problem in my back i cannot extend it
Foot ache,I can't walk because i have a great foot ache
Heart hurts,My heart is beating fast and it scares me.
Acne,I used to have acne when I was 15 years old
Muscle pain,My muscles in my lower back are aching.
Muscle pain,My shoulder muscle hurts when I try to reach up.
Heart hurts,I feel heart pain when I walk a lot
Hair falling out,My hair is falling out in huge amount
Back pain,I feel a pain in my back
Skin issue,My skin is itchy and inflamed
Blurry vision,i can't see well
Cough,I have a cold and it makes me cough alot
Cough,I have a dry throat
Ear ache,I'm not hearing well I have problem with my ear
Foot ache,My foot is hurting so much.
Hair falling out,My shower drain is full of hair every time.
Head ache,I have front head pain and when I get it the light bothers me.
Acne,Even though I'm an adult my face keeps breaking out in pimples.
Body feels weak,When I get out of bed in the morning my body feels very weak.
Knee pain,My knee catches and hurts when I first stand up after sitting.
Infected wound,"surgical wounds red, firing pus, painful and hot to the touch"
Joint pain,Feel like something is being jabbed into my joints
Foot ache,The arches of my feet hurt when I wear heels
Back pain,I feel pain in the lower back
Head ache,I have a dull ache in my head
Foot ache,The arches of my feet hurt when I wear heels
Neck pain,I feel a pain in my neck
Neck pain,I have a sharp pain in my neck
Internal pain,i have pain but i can't specify place
Ear ache,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.
Blurry vision,I have cloudy eyes
Joint pain,I feel joint pain every time I move
Stomach ache,i have a hard pain in my stomach
Ear ache,"My left ear is ok, but the right one feels like it's being stabbed with a nail."
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Back pain,I have a back pain since I fell on the floor.
Feeling dizzy,I feel lightheaded
Internal pain,My body aches on the inside between my hips and shoulders.
Foot ache,I have a foot ache after running 500m with my running shoes.
